AccX
-3031
-3202
-915
-1395
-51
-2279
1459
-909
1822
3629
1337
2340
703
892
-3203
-91
-2303
-529
526
1595
1505
-417
1809
1924
2649
-959
-658
-1823
-3698
-125
-597
-302
627
1459
2556
4088
1750
-2931
-1312
-1846
1247
-711
-1517
-3424
-1397
4759
2341
2805
-971
2
2672
1424
869
-3186
-1282
-2244
879
3825
455
1888
1904
3794
115
1968
-3125
-1770
4
-369
40
-1464
1920
2782
5086
970
-1223
491
-1850
152
-2616
-1213
-3079
1017
876
1655
3294
1439
456
378
1698
-3158
-1557
-63
-1148
407
-524
528
-25
2930
3103
-978
1565
183
-438
-2814
102
-1985
640
1949
3760
2291
-847
2275
1119
1357
163
-1271
-3608
-1444
64
2171
520
1870
-1498
1513
1503
2083
-1042
-1772
-1782
-663
1300
-936
-18
1282
4059
677
1080
-1402
-1370
2953
-429
-979
-2837
-262
-61
1056
1432
-2347
1966
292
2761
775
-737
-1964
-1754
1650
649
2583
-1345
1180
2388
1325
1296
619
129
-1704
1896
-3071
-3142
-576
880
-134
-682
3660
-353
2097
1521
-1003
-591
-245
2499
-589
1215
-1672
347
247
830
1687
-1331
-1128
187
1291
-350
937
-669
-2749
1124
533
1549
485
1424
740
1438
2268
-3922
1234
17
2662
-817
-3050
-2767
-457
4625
575
504
-1133
-1657
2509
1073
66
-2779
172
-1942
3035
2419
-942
-885
-758
3440
-52
-725
-3075
-671
288
-328
871
-1593
1754
2794
1381
-963
-193
1689
-1350
420
-1480
-1485
-2224
2225
1368
-1111
754
-577
4493
1133
1349
-1731
-704
-270
-421
-256
-2404
988
-199
319
2542
-56
-220
-1292
58
-2640
-1147
-944
-2564
2406
3316
1452
-714
191
1746
2885
1083
-2756
-1662
-1000
241
1301
1711
-1477
1776
3442
414
3049
-1242
-962
40
1081
1279
-3308
953
-131
4068
1968
873
-397
-1477
2105
-286
-748
-2638
-1075
458
-620
1234
729
3082
1357
3496
-2663
-2579
265
-1009
333
-2324
29
-1385
3346
4048
689
1349
-1127
-1012
-1925
1069
-1844
-1904
429
747
2646
669
3756
1650
1919
-828
-866
-3431
-3639
1776
-167
-159
-562
75
1344
3344
4212
-941
-2195
-2374
-760
-788
-516
-1587
-1970
3448
1407
4692
717
-14
1443
1777
333
-4087
-1400
-1315
893
1740
-851
2302
1069
1425
-1082
288
-2888
-1219
732
-900
231
-1073
3517
3401
5019
1826
-310
-449
-1763
483
-386
-3343
-1402
-632
1558
-1016
3933
-532
1055
660
1244
-1625
-356
1415
-2504
26
-654
1405
2016
4275
1702
-820
-565
-459
-1527
1494
-1459
-556
-2609
816
2532
4012
362
1254
-11
423
3301
-2265
-3898
-2886
964
1297
1708
5
-579
2160
3137
1854
-924
-1856
-130
-1349
1341
-1304
1508
